Key,Korean,English
Character.Amber,엠버,Amber
Character.Xiangling,향릉,Xiangling
Character.Bennet,베넷,Bennet
Character.Diluc,다이루크,Diluc
Character.Klee,클레,Klee
Character.Barbara,바바라,Barbara
Character.Xingqiu,행추,Xingqiu
Character.Mona,모나,Mona
Character.Sucrose,설탕,Sucrose
Character.Jean,진,Jean
Character.Venti,벤티,Venti
Character.Lisa,리사,Lisa
Character.Razor,레이저,Razor
Character.Beidou,북두,Beidou
Character.Fischl,피슬,Fischl
Character.Keqing,각청,Keqing
Character.Kaeya,케이아,Kaeya
Character.Chongyun,중운,Chongyun
Character.Qiqi,치치,Qiqi
Character.Ningguang,응광,Ningguang
Character.Noelle,노엘,Noelle
Character.Tartaglia,타르탈리아,Tartaglia
Character.Diona,디오나,Diona
Character.Zhongli,종려,Zhongli
Character.Xinyan,신염,Xinyan
Character.Albedo,알베도,Albedo
Character.Ganyu,감우,Ganyu
Character.Xiao,소,Xiao
Character.Hutao,호두,Hutao
Character.Rosaria,로자리아,Rosaria
Character.Yanfei,연비,Yanfei
Character.Eula,유라,Eula
Character.Kazuha,카즈하,Kazuha
