Key,Korean,English
Upgrade.Name.ATK,공격력,ATK
Upgrade.Name.ARMOR,방어력,ARMOR
Upgrade.Name.HP,체력,HP
Upgrade.Name.HEAL,치유강화,HEAL
Upgrade.Name.COOLTIME,쿨타임,COOLTIME
Upgrade.Name.AREA,범위,AREA
Upgrade.Name.ASPEED,공격속도,ASPEED
Upgrade.Name.DURATION,지속시간,DURATION
Upgrade.Name.AMOUNT,개수,AMOUNT
Upgrade.Name.MSPEED,이동속도,MSPEED
Upgrade.Name.MAGNET,자석,MAGNET
Upgrade.Name.LUCK,행운,LUCK
Upgrade.Name.GROWTH,성장,GROWTH
Upgrade.Name.GREED,탐욕,GREED
Upgrade.Name.CURSE,저주,CURSE
Upgrade.Name.REBIRTH,부활,REBIRTH
Upgrade.Name.REROLL,리롤,REROLL
Upgrade.Name.SKIP,스킵,SKIP
Upgrade.Name.Discription.ATK,공격력 스킬에 영향을 주는 스텟,A Stat That Affects Attack Skills
Upgrade.Name.Discription.ARMOR,"방어력 스킬에 영향을 주는 스텟, 적에게 피해를 받는 양을 결정함","The Stats That Affect The Defense Skills, Determine The Amount Of Damage To The Enemy"
Upgrade.Name.Discription.HP,"체력 스킬에 영향을 주는 스텟, 플레이어 최대 체력에 영향을 줌","A Stat That Affects Health Skills, Influence On The Maximum Health Of The Player"
Upgrade.Name.Discription.HEAL,체력 회복량에 영향을 주는 스텟,Stat That Affects Physical Recovery
Upgrade.Name.Discription.COOLTIME,모든 스킬의 재사용 대기시간에 영향을 줌,It Affects The Cooldown Of All Skills
Upgrade.Name.Discription.AREA,모든 스킬의 크기에 영향을 줌,It Affects The Size Of All Skills
Upgrade.Name.Discription.ASPEED,투사체 속도에 영향을 줌,Impact
Upgrade.Name.Discription.DURATION,모든 스킬의 지속시간에 영향을 줌,It Affects The Duration Of All Skills
Upgrade.Name.Discription.AMOUNT,개수가 늘어날 수 있는 스킬의 개수를 늘려줌,Increase The Number Of Skills That Can Increase The Number
Upgrade.Name.Discription.MSPEED,이동속도에 영향을 줌,Impact
Upgrade.Name.Discription.MAGNET,모든 스킬의 적과 아이템을 끌어당기는 범위에 영향을 줌,It Affects The Range Of Attracting Enemies And Items Of All Skills
Upgrade.Name.Discription.LUCK,행운 1당 치명타 확률 1% 치명타 대미지 5% 증가 상자 획득 확률 1% 증가,Lucky 1% Critical Strike 1% Critical Hits 5% Increase In Cose Rok 1% Increase
Upgrade.Name.Discription.GROWTH,원소 충전 효율과 경험치 획득량에 영향을 주는 스텟,Stat That Affects Elemental Charging Efficiency And Experience Acquisition
Upgrade.Name.Discription.GREED,모라 획득량에 영향을 주는 스텟,A Stat That Affects Mora Acquisition
Upgrade.Name.Discription.CURSE,"적의 체력, 공격력, 속도에 영향을 주는 스텟","Stats That Affect Enemy Health, Damage, And Speed"
Upgrade.Name.Discription.REBIRTH,부활 회수에 영향을 주는 스텟,Stat That Affects The Recovery Of Resurrection
Upgrade.Name.Discription.REROLL,레벨업 시 나오는 스킬 목록을 다시 선택 할 수 있게 하는데 영향을 주는 스텟,Stat That Affects The Skill List That Comes Out During Leveling Up
Upgrade.Name.Discription.SKIP,레벨업 선택지를 건너뛰는데 영향을 주는 스텟,Stat That Affects The Level -Up Option
Upgrade.Discription.ATK,공격력을 업그레이드 개수 x {0}% 만큼 올려준다.,Up The Damage To The Number Of Upgrades X {0}%.
Upgrade.Discription.ARMOR,방어력을 업그레이드 개수 x {0} 만큼 올려준다.,Up The Number Of Defenses Upgrades X {0}.
