Key,Korean,English
Wish.Name.Defalut,,
Wish.Venti,"<color=#00FFDC><size=90>잔에 담긴 시</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Klee,"<color=#FF6C6C><size=90>번쩍이는 화염</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Qiqi,"<color=#757ACD><size=90>세상</size></color><size=90>여행</size>
일반 기원
☆5 획득확률 10%!",
Wish.Tartaglia,"<size=90>겨울나라와의 이별</size>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Zhongli,"<size=90>산야의 시조</size>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Albedo,"<color=#FFC401><size=90>심비의 숨결</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Ganyu,"<color=#ADFCFC><size=90>덧없는 인생</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Xiao,"<color=#00FFDC><size=90>등불의 초대</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Hutao,"<color=#FF6C6C><size=90>매화가 만개할 때</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Eula,"<color=#ADFCFC><size=90>파도가 치는 순간</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Kazuha,"<color=#00FFDC><size=90>바람에</size></color><size=90>지는 낙엽</size>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Weapon,"<color=#F27B1B><size=90>신의 주조</size></color>
무기획득확률 UP!
☆5 획득확률 10%!",
Wish.Ayaka,"<color=#ADFCFC><size=90>백로의 정원</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Yoimiya,"<color=#FFA066><size=70>은하수를 물들인 불꽃</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Raiden,"<color=#E3A7FF><size=90>정토 좇는 천하인</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Kokomi,"<color=#57DEFF><size=90>산악에 뜬 구슬</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Ito,"<color=#FFC401><size=90>귀문투연</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Shenhe,"<color=#ADFCFC><size=90>속세의 귀객</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Miko,"<color=#E3A7FF><size=90>자홍의 벚꽃</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Ayato,"<color=#57DEFF><size=70>푸른 물결 속 가벼운 걸음</size></color>
획득확률 UP!
☆5 획득확률 10%!",
Wish.Yelan,"<color=#57DEFF><size=70>하늘을 정탐하는 백홍</size></color>
획득확률 UP!
☆5 획득확률 10%!",
